,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration,chunk.length,chunk.length
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
target.sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grape>,1,,0,,20.74088816,,0,,1,,0,,0,,0,,0.924808467,,6,,30.50235795,,482.1394302,,0,,0,,227.0902122,,3,
apple>,1,,0,,13.0458207,,0,,3,,2,,2,,0,,0.858092432,,11,,35.58089308,,459.9174048,,1,,0,,240.4540644,,1.333333333,
science>,1,,0,,6.478325964,,8,,1,,2,,0,,1,,0.882585019,,3,,17.05538514,,463.0825952,,0,,1,,273.417918,,2,
guitar>,1,,0,,11.12310969,,0,,3,,4,,0,,2,,0.850202578,,14,,49.44828081,,431.5339985,,1,,0,,242.7026033,,3,
mouse>,1,,0,,21.43470186,,0,,1,,0,,0,,0,,0.92228388,,6,,25.22143701,,466.5331976,,0,,0,,211.6548735,,2,
enjoy>,1,,0,,7.20618343,,4,,2,,3,,1,,1,,0.869392997,,7,,31.85092052,,475.7818701,,0,,1,,284.0650924,,2,
happy>,1,,0,,20.59411294,,0,,2,,0,,0,,0,,0.850692193,,7,,24.5340938,,485.5756607,,0,,0,,262.2810589,,2,
pencil>,1,,0,,24.18096196,,0,,1,,0,,0,,0,,0.926938937,,7,,23.40492964,,425.3641481,,0,,0,,198.6863864,,1,
bird>,1,,0,,21.01360904,,0,,1,,0,,0,,0,,0.904739009,,4,,18.09794249,,456.8467978,,0,,0,,237.1878544,,1,
winter>,1,,0,,22.08857518,,0,,2,,0,,0,,0,,0.772514919,,8,,23.43650317,,465.6576624,,0,,0,,222.1362697,,2.5,
ocean>,1,,0,,21.4181726,,0,,1,,0,,0,,0,,0.922340308,,7,,25.63768554,,466.89324,,0,,0,,228.4387523,,4,
rainbow>,1,,0,,16.8043135,,0,,3,,1,,1,,0,,0.86944198,,12,,47.92258589,,499.871655,,1,,0,,259.1100365,,1.666666667,
cookie>,1,,0,,22.9378437,,0,,2,,0,,0,,0,,0.784345788,,7,,21.59455345,,448.416792,,0,,0,,230.0672422,,3,
dance>,1,,0,,6.512083434,,0,,5,,9,,2,,2,,0.881944148,,19,,69.53787785,,418.8018711,,1,,0,,261.20614,,2.2,
sunshine>,1,,0,,12.69911832,,0,,4,,4,,0,,2,,0.884935143,,17,,63.48337313,,444.6811723,,1,,0,,250.9622038,,3,
bicycle>,1,,0,,22.64751687,,0,,2,,0,,0,,0,,0.882701716,,10,,29.46389527,,463.6269866,,0,,0,,207.0763649,,2,
pumpkin>,1,,0,,10.51885139,,0,,4,,8,,0,,2,,0.846642902,,15,,35.8770543,,362.9846716,,1,,0,,232.7764609,,3.25,
family>,1,,0,,21.42941886,,0,,2,,0,,0,,0,,0.870543001,,8,,25.2797353,,479.9810182,,0,,0,,241.436429,,3,
umbrella>,1,,0,,2.712002283,,3,,3,,49,,0,,2,,0.975420201,,11,,35.46758555,,268.168184,,0,,1,,234.6355188,,17.33333333,
flower>,1,,0,,1.404833428,,6,,3,,32,,0,,2,,0.942843182,,7,,21.77927174,,271.1726339,,0,,1,,236.6398672,,10.66666667,
,,,,,15.34952217,7.492627021,1.05,2.327750213,2.3,1.174285897,5.7,12.50305226,0.3,0.656946685,0.7,0.923380517,0.88117044,0.049112312,9.3,4.268612495,32.75881808,14.43535388,436.8515495,64.38510727,0.3,0.470162346,0.2,0.410391341,239.1012674,21.63804909,3.4975,3.83048817
